colour	group	showSelectedlegendcolour	PANEL
#E41A1C	1	1	6
#E41A1C	2	1	6
#377EB8	3	2	6
#377EB8	4	2	6
#4DAF4A	5	3	6
#4DAF4A	6	3	6
#4DAF4A	7	3	6
#984EA3	8	4	6
#984EA3	9	4	6
#984EA3	10	4	6
#FF7F00	11	5	6
#FF7F00	12	5	6
#E41A1C	13	1	6
#E41A1C	14	1	6
#377EB8	15	2	6
#377EB8	16	2	6
#377EB8	17	2	6
#4DAF4A	18	3	6
#4DAF4A	19	3	6
#4DAF4A	20	3	6
#984EA3	21	4	6
#984EA3	22	4	6
#FF7F00	23	5	6
#377EB8	24	2	6
#377EB8	25	2	6
#4DAF4A	26	3	6
#4DAF4A	27	3	6
#4DAF4A	28	3	6
#984EA3	29	4	6
#984EA3	30	4	6
#FF7F00	31	5	6
#4DAF4A	32	3	6
#4DAF4A	33	3	6
#4DAF4A	34	3	6
#984EA3	35	4	6
#984EA3	36	4	6
#984EA3	37	4	6
#FF7F00	38	5	6
#984EA3	39	4	6
