colour	x	y	tooltip	key	showSelectedlegendcolour	showSelected1	PANEL	fill
#000000	3	-0.295836866004329	minimum cost = -0.2958 with inactive constraint at mean = 3 for 1 segment model up to data point 1 previous segment end = 0	0	0	1	1	#000000
#000000	6	-4.75055681536833	minimum cost = -4.7506 with inactive constraint at mean = 6 for 1 segment model up to data point 2 previous segment end = 0	0	0	1	1	#000000
#000000	10	-13.0258509299405	minimum cost = -13.0259 with inactive constraint at mean = 10 for 1 segment model up to data point 3 previous segment end = 0	0	0	1	1	#000000
#000000	11.25	-15.9791414473173	minimum cost = -15.9791 with inactive constraint at mean = 11.25 for 1 segment model up to data point 4 previous segment end = 0	0	0	1	1	#000000
#000000	13	-20.344341647	minimum cost = -20.3443 with inactive constraint at mean = 13 for 1 segment model up to data point 5 previous segment end = 0	0	0	1	1	#000000
#000000	11.1666666666667	-15.7777535101525	minimum cost = -15.7778 with inactive constraint at mean = 11.1667 for 1 segment model up to data point 6 previous segment end = 0	0	0	1	1	#000000
#000000	3	-0.295836866004329	minimum cost = -0.2958 with inactive constraint at mean = 3 for 1 segment model up to data point 1 previous segment end = 0	0	0	2	1	#000000
#000000	3	-0.295836866004329	minimum cost = -0.2958 with inactive constraint at mean = 3 for 1 segment model up to data point 1 previous segment end = 0	0	0	2	1	#000000
#000000	3	-0.295836866004329	minimum cost = -0.2958 with inactive constraint at mean = 3 for 1 segment model up to data point 1 previous segment end = 0	0	0	2	1	#000000
#000000	6	-4.75055681536833	minimum cost = -4.7506 with inactive constraint at mean = 6 for 1 segment model up to data point 2 previous segment end = 0	0	0	2	1	#000000
#000000	3	-0.295836866004329	minimum cost = -0.2958 with inactive constraint at mean = 3 for 1 segment model up to data point 1 previous segment end = 0	0	0	2	1	#000000
#000000	3	-0.295836866004329	minimum cost = -0.2958 with inactive constraint at mean = 3 for 1 segment model up to data point 1 previous segment end = 0	0	0	3	1	#000000
#000000	6	-4.75055681536833	minimum cost = -4.7506 with inactive constraint at mean = 6 for 1 segment model up to data point 2 previous segment end = 0	0	0	3	1	#000000
#000000	6	-4.75055681536833	minimum cost = -4.7506 with inactive constraint at mean = 6 for 1 segment model up to data point 2 previous segment end = 0	0	0	3	1	#000000
#000000	6	-4.75055681536833	minimum cost = -4.7506 with inactive constraint at mean = 6 for 1 segment model up to data point 2 previous segment end = 0	0	0	3	1	#000000
#000000	3	-0.295836866004329	minimum cost = -0.2958 with inactive constraint at mean = 3 for 1 segment model up to data point 1 previous segment end = 0	0	0	4	1	#000000
